MM,Mon,Date,Engine Type,Ship,Pos,Type of Removal,RMV ESN,INST ESN,Stat,Reason,CSR,TSR,P/F,Override,Root Cause,,
1,January,1/1/2017,BR715,9512,2,UER,13330,13416,LAX,Turbine Blades,5267,6497,,,,,
1,January,1/2/2017,BR715,9563,1,LLP,13354,13274,ATL,LLP,2077,2710,,,,,
1,January,1/2/2017,JT8D-219,915,1,UER,725599,,FLL,Hung Start,2240,3031,,,,,
1,January,1/2/2017,PW2000,6813,2,UER,728793,727151,ATL,Failed BSI,4255,21335,,,,,
1,January,1/3/2017,BR715,9505,2,Stagger,13143,,ATL,Stagger,1783,2199,,,,,
1,January,1/3/2017,JT8D-219,917,2,UER,725373,725859,CLT,High Oil Temp,532,715,,,,,
1,January,1/3/2017,CF6-80C2B6F,1605,2,UER,704805,702122,ATL,CRF Rework,2364,18458,,,,,
1,January,1/3/2017,JT8D-219,994,2,UER,725420,718214,CVG,Failed BSI,2435,3485,,,,,
1,January,1/3/2017,CFM56-7B,3722,2,UER,876330,888635,SEA,Metal in Tailpipe,2903,8653,#N/A,,,,
1,January,1/4/2017,BR715,9570,2,Stagger,13172,13143,MZJ,Stagger,5638,7007,,,,,
1,January,1/5/2017,BR715,9522,2,Stagger,13216,,QRO,Stagger,3635,4584,,,,,
1,January,1/5/2017,BR715,9522,1,Stagger,13240,,QRO,Stagger,3635,4582,,,,,
1,January,1/5/2017,BR715,9525,2,Stagger,13393,13172,ATL,Stagger,1272,1647,,,,,
1,January,1/6/2017,BR715,9541,2,Stagger,13209,13393,ATL,Stagger,6114,7499,,,,,
1,January,1/6/2017,CFM56-5A,3169,1,Stagger,733315,,MSP,For other maintenance,7457,13448,,,,,
1,January,1/7/2017,JT8D-219,964,2,UER,725804,718027,ATL,Compressor Stall,3004,4267,,,,,
1,January,1/8/2017,BR715,9552,2,Stagger,13233,13209,ATL,Stagger,1291,1672,,,,,
1,January,1/8/2017,BR715,9584,1,Stagger,13347,13168,ATL,Stagger,336,422,,,,,
1,January,1/8/2017,PW4060,174,1,LLP,724638,727708,ATL,LLP,575,4516,,,,,
1,January,1/8/2017,PW4056,6302,3,Stagger,727922,717533,DTW,Stagger,490,4163,,,,,
1,January,1/8/2017,CFM56-5A,3136,1,LLP,733243,733170,MSP,LLP,3955,7151,,,,,
1,January,1/9/2017,BR715,9535,2,Stagger,13325,13447,ATL,Stagger,4944,6119,,,,,
1,January,1/9/2017,JT8D-219,9006,1,UER,728017,,MSP,High Oil Temp,4745,6666,,,,,
1,January,1/10/2017,JT8D-219,998,2,UER,718092,716765,MIA,High Oil Temp,1814,2558,,,,,
1,January,1/10/2017,PW2000,5641,1,UER,728792,728819,LAX,IN FLIGHT SHUTDOWN,3080,6708,,,,,
1,January,1/10/2017,PW2000,5802,2,LLP,728830,727211,ATL,LLP,4622,13839,,,,,
1,January,1/11/2017,BR715,9587,1,Stagger,13211,13445,ATL,Stagger,1491,1913,,,,,
1,January,1/11/2017,JT8D-219,933,2,UER,725727,725691,CVG,External Engine,647,915,,,,,
1,January,1/12/2017,PW4060,197,2,Stagger,724150,724150,CAN,For other maintenance,1475,10212,,,,,
1,January,1/14/2017,BR715,9517,1,Stagger,13329,13347,ATL,Stagger,4467,5599,,,,,
1,January,1/14/2017,PW4056,6310,1,UER,729067,724478,DTW,Failed BSI,723,6480,,,,,
1,January,1/14/2017,CFM56-5A,3222,1,UER,733308,731684,DEN,IN FLIGHT SHUTDOWN,2894,6131,,,,,
1,January,1/16/2017,CFM56-5A,3142,2,UER,733199,733361,ATL,Metal in Oil,2594,4836,,,,,
1,January,1/17/2017,BR715,9550,1,Stagger,13215,13329,ATL,Stagger,2917,3966,,,,,
1,January,1/17/2017,BR715,9573,1,UER,13231,13170,MSP,Failed BSI,4883,6292,,,,,
1,January,1/17/2017,PW4060,198,1,Stagger,724741,724741,CAN,For other maintenance,3078,21253,,,,,
1,January,1/17/2017,PW4060,198,1,Stagger,727830,727830,CAN,For other maintenance,4937,34327,,,,,
1,January,1/18/2017,BR715,9527,1,Stagger,13255,13215,ATL,Stagger,6057,7481,,,,,
1,January,1/18/2017,CFM56-5A,3266,1,Stagger,731726,,DTW,Stagger,6123,12728,,,,,
1,January,1/18/2017,PW4168,3301,1,UER,733546,733524,ATL,FMP,3036,23711,,,,,
1,January,1/20/2017,CFM56-5A,3226,1,UER,731216,731568,MSP,Performance,753,1449,,,,,
1,January,1/21/2017,JT8D-219,9018,1,UER,725537,718129,ATL,Engine Fuel,227,335,LOW TIME,Y,Override due to proactive removal for T1 BLDs,,
1,January,1/22/2017,PW4060,177,2,UER,727745,724168,CDB,Low Oil Pressure,2161,16784,,,,,
1,January,1/22/2017,BR715,9584,2,Stagger,13323,13233,ATL,Stagger,188,236,,,,,
1,January,1/22/2017,JT8D-219,906,2,UER,718179,717308,ATL,Overboost,1124,1492,,,,,
1,January,1/22/2017,CFM56-5A,3270,1,UER,731743,,CLE,Compressor Stall,3706,7756,,,,,
1,January,1/23/2017,JT8D-219,997,1,UER,725522,728029,CVG,Failed BSI,4022,5822,,,,,
1,January,1/24/2017,CF6-80C2B8F,1814,1,LLP,706233,706225,ATL,LLP,2289,18347,,,,,
1,January,1/24/2017,JT8D-219,9019,2,UER,725988,709881,BNA,Overboost,1982,2783,,,,,
1,January,1/24/2017,JT8D-219,9019,2,UER,728063,725878,BNA,Overboost,2855,4020,,,,,
1,January,1/24/2017,CFM56-5A,3253,2,Stagger,733368,733160,SLC,Stagger,6273,13211,,,,,
1,January,1/25/2017,V2500,9239,2,Scheduled,20008,20200,MSP,LLP,6014,9661,,,,,
1,January,1/25/2017,CFM56-5A,3219,2,Stagger,733278,733278,MSP,For other maintenance,6795,13546,,,,,
1,January,1/25/2017,CFM56-5A,3219,1,Stagger,733340,733340,MSP,For other maintenance,6120,12105,,,,,
1,January,1/26/2017,PW4060,172,1,LLP,724740,724416,ATL,LLP,2526,19916,,,,,
1,January,1/26/2017,CFM56-5A,3242,2,UER,733258,733302,MSP,Failed BSI,2601,5542,,,,,
1,January,1/26/2017,CFM56-5A,3261,2,LLP,733274,733174,CVG,LLP,2136,4406,,,,,
1,January,1/26/2017,CFM56-5A,3118,1,Stagger,733324,733324,MSP,For other maintenance,1218,2471,,,,,
1,January,1/27/2017,V2500,9255,1,UER,20253,20250,DEN,Compressor Stall,7151,11905,,,,,
1,January,1/27/2017,CF6-80C2B6,1503,1,UER,695689,695373,LAX,CRF Inspection,668,4275,,,,,
1,January,1/28/2017,PW2000,6809,2,LLP,727223,728766,LAX,LLP,4988,11955,,,,,
1,January,1/29/2017,PW2000,633,1,LLP,716598,717972,ATL,LLP,1559,3445,,,,,
1,January,1/29/2017,PW4060,197,1,LLP,727739,727744,LAX,LLP,1843,12745,,,,,
1,January,1/30/2017,JT8D-219,991,1,LLP,728015,728018,CVG,LLP,4829,7013,,,,,
1,January,1/30/2017,CFM56-5A,3118,2,Stagger,731476,731476,MSP,For other maintenance,4665,8590,,,,,
1,January,1/31/2017,BR715,9587,2,UER,13199,13323,ATL,Turbine Blades,1574,2036,,,,,
